get_file:25,20:16:14:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:14:get_last_revision:55:br5GSQ -- last revision id 1592
gdoc.py:25,20:16:14:async_init:35:br5GSQ -- after await 1592
connecti:25,20:16:14:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:14:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:14:getRevision:180:br5GSQ -- not google doc
connecti:25,20:16:14:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1B6ePg9Ixtc4xqKL4D0_JO80n8GL83WpztJKJGaH-6S0/revisions/load?id=1B6ePg9Ixtc4xqKL4D0_JO80n8GL83WpztJKJGaH-6S0&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:16:14:download_details:73:br5GSQ -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:15:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:15:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:15:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:15:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:15:async_init:26:br5GSQ -- async init called
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:15:async_init:26:br5GSQ -- async init called
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:15:async_init:26:br5GSQ -- async init called
connecti:25,20:16:15:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg/revisions/load?id=1wfaH9BSg8wrDaKXR54KK1y8pd-miEOQNj3E8GL6fTfg&start=1&end=1592 HTTP/1.1" 200 None
get_file:25,20:16:15:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:15:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:15:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:15:get_last_revision:55:br5GSQ -- last revision id 2
gdoc.py:25,20:16:15:async_init:35:br5GSQ -- after await 2
gdoc.py:25,20:16:15:get_last_revision:55:br5GSQ -- last revision id 36
connecti:25,20:16:15:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:16:15:async_init:35:br5GSQ -- after await 36
connecti:25,20:16:15:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:16:15:get_last_revision:55:br5GSQ -- last revision id 6
gdoc.py:25,20:16:15:async_init:35:br5GSQ -- after await 6
connecti:25,20:16:15:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:15:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:15:get_last_revision:55:br5GSQ -- last revision id 919
gdoc.py:25,20:16:15:async_init:35:br5GSQ -- after await 919
connecti:25,20:16:15:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:16:15:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ/revisions/load?id=1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ&start=1&end=36 HTTP/1.1" 200 None
get_file:25,20:16:15:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:15:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4/revisions/load?id=15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4&start=1&end=2 HTTP/1.1" 200 None
connecti:25,20:16:16:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw/revisions/load?id=1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw&start=1&end=6 HTTP/1.1" 200 None
gdoc.py:25,20:16:16:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:16:async_init:35:br5GSQ -- after await 1
connecti:25,20:16:16:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:16:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:16:getRevision:180:br5GSQ -- not google doc
connecti:25,20:16:16:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs/revisions/load?id=1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs&start=1&end=919 HTTP/1.1" 200 None
get_file:25,20:16:16:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:16:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:16:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/16Tz6lbS7tdWBUhgseZCx0va0xBAayzOSSDSH-T20xRA/revisions/load?id=16Tz6lbS7tdWBUhgseZCx0va0xBAayzOSSDSH-T20xRA&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:16:16:download_details:73:br5GSQ -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
connecti:25,20:16:16:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:16:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:16:async_init:26:br5GSQ -- async init called
get_file:25,20:16:16:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:17:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:17:async_init:26:br5GSQ -- async init called
connecti:25,20:16:17:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ/revisions/load?id=1SGPIbZAmFYwIakoHevrYhHMwAf6xNIbMuS1zeULYsTQ&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:16:17:download_details:73:br5GSQ -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:16:17:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:17:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:17:getRevision:180:br5GSQ -- not google doc
get_file:25,20:16:17:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
gdoc.py:25,20:16:17:get_last_revision:55:br5GSQ -- last revision id 567
gdoc.py:25,20:16:17:async_init:35:br5GSQ -- after await 567
connecti:25,20:16:17:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:16:17:get_last_revision:55:br5GSQ -- last revision id 929
gdoc.py:25,20:16:17:async_init:35:br5GSQ -- after await 929
connecti:25,20:16:17:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:16:17:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
connecti:25,20:16:17:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/16wh_FgWE8Y0tUpAdIte4WyuB91_ypCySi82lvdhAiFY/revisions/load?id=16wh_FgWE8Y0tUpAdIte4WyuB91_ypCySi82lvdhAiFY&start=1&end=567 HTTP/1.1" 200 None
get_file:25,20:16:17:getRevision:164:br5GSQ -- getRevision looping
get_file:25,20:16:17:getRevision:180:br5GSQ -- not google doc
gdoc.py:25,20:16:17:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:17:async_init:35:br5GSQ -- after await 1
connecti:25,20:16:17:_new_conn:817:br5GSQ -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:16:17:_make_request:393:br5GSQ -- https://docs.google.com:443 "GET /document/d/1WKk8W5cG-CYKBYN_cWpAdziiPVhvQZEAarnPwf58z4Y/revisions/load?id=1WKk8W5cG-CYKBYN_cWpAdziiPVhvQZEAarnPwf58z4Y&start=1&end=929 HTTP/1.1" 200 None
get_file:25,20:16:17:getIdsRecursive:50:br5GSQ -- getIdsRecursive looping
get_file:25,20:16:17:getRevision:164:br5GSQ -- getRevision looping
gdoc.py:25,20:16:17:async_init:26:br5GSQ -- async init called
gdoc.py:25,20:16:18:get_last_revision:45:br5GSQ -- code not 200
gdoc.py:25,20:16:18:async_init:35:br5GSQ -- after await 1
get_file:25,20:16:18:getRevision:200:br5GSQ -- google doc
get_file:25,20:16:18:getRevision:164:br5GSQ -- getRevision looping
