    assert response.status_code == 200
AssertionError
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:19:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:19:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:19:getRevision:178:8tAM3A -- not google doc
connecti:25,20:13:19:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho/revisions/load?id=1G1g252JtmrFnXI5HaLLEafe8apipzquYwQQ0hbQIaho&start=1&end=1948 HTTP/1.1" 200 None
gdoc.py:25,20:13:19:get_last_revision:55:8tAM3A -- last revision id 9391
gdoc.py:25,20:13:19:async_init:35:8tAM3A -- after await 9391
connecti:25,20:13:19:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:19:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:19:getRevision:178:8tAM3A -- not google doc
connecti:25,20:13:19:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1B6ePg9Ixtc4xqKL4D0_JO80n8GL83WpztJKJGaH-6S0/revisions/load?id=1B6ePg9Ixtc4xqKL4D0_JO80n8GL83WpztJKJGaH-6S0&start=1&end=1 HTTP/1.1" 403 None
gdoc.py:25,20:13:19:download_details:73:8tAM3A -- Cannot get revisions.json
Traceback (most recent call last):
  File "/home/henry/pydocs/processing/gdoc.py", line 71, in download_details
    assert response.status_code == 200
AssertionError
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:19:async_init:26:8tAM3A -- async init called
get_file:25,20:13:19:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:19:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:19:async_init:26:8tAM3A -- async init called
get_file:25,20:13:20:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:20:async_init:26:8tAM3A -- async init called
connecti:25,20:13:20:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI/revisions/load?id=1sF1pFtL8fsnQBBAoTt8P7YGOVZVr6-6a4BLeU3PBncI&start=1&end=9391 HTTP/1.1" 200 None
get_file:25,20:13:20:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:20:get_last_revision:55:8tAM3A -- last revision id 36
gdoc.py:25,20:13:20:async_init:35:8tAM3A -- after await 36
connecti:25,20:13:20:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:20:get_last_revision:55:8tAM3A -- last revision id 2
gdoc.py:25,20:13:20:async_init:35:8tAM3A -- after await 2
connecti:25,20:13:20:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:20:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:20:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:20:get_last_revision:55:8tAM3A -- last revision id 6
gdoc.py:25,20:13:20:async_init:35:8tAM3A -- after await 6
connecti:25,20:13:20:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:20:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:20:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:20:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ/revisions/load?id=1LuJ1Ln_dAc7n3Qj0zNE4yuYfFG6NEgxO-hsDA9M4qpQ&start=1&end=36 HTTP/1.1" 200 None
gdoc.py:25,20:13:20:get_last_revision:55:8tAM3A -- last revision id 919
gdoc.py:25,20:13:20:async_init:35:8tAM3A -- after await 919
connecti:25,20:13:20:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:13:20:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4/revisions/load?id=15Fi6RHQtC8H-GOJC_gjiED_9rNxtCdahEGtLvBUZcv4&start=1&end=2 HTTP/1.1" 200 None
connecti:25,20:13:20:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw/revisions/load?id=1H1aSubiwctKw-qMV6t1aGlfooY2Qn9V6Y01phHpg-kw&start=1&end=6 HTTP/1.1" 200 None
get_file:25,20:13:21:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:21:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
connecti:25,20:13:21:_make_request:393:8tAM3A -- https://docs.google.com:443 "GET /document/d/1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs/revisions/load?id=1WbGMwYDyqP6aCDpf5fBbR7sneMicXtvEtfm3Z4k0Vzs&start=1&end=919 HTTP/1.1" 200 None
get_file:25,20:13:21:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:22:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:22:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:22:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:22:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:22:async_init:26:8tAM3A -- async init called
get_file:25,20:13:22:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
get_file:25,20:13:22:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:22:async_init:26:8tAM3A -- async init called
gdoc.py:25,20:13:22:get_last_revision:45:8tAM3A -- code not 200
gdoc.py:25,20:13:22:async_init:35:8tAM3A -- after await 1
connecti:25,20:13:22:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
connecti:25,20:13:23:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:23:getIdsRecursive:50:8tAM3A -- getIdsRecursive looping
gdoc.py:25,20:13:23:get_last_revision:55:8tAM3A -- last revision id 567
gdoc.py:25,20:13:23:async_init:35:8tAM3A -- after await 567
connecti:25,20:13:23:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:25,20:13:23:get_last_revision:45:8tAM3A -- code not 200
gdoc.py:25,20:13:23:async_init:35:8tAM3A -- after await 1
connecti:25,20:13:23:_new_conn:817:8tAM3A -- Starting new HTTPS connection (1): docs.google.com
get_file:25,20:13:23:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:23:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:23:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:23:getRevision:162:8tAM3A -- getRevision looping
get_file:25,20:13:23:getRevision:178:8tAM3A -- not google doc
get_file:25,20:13:23:getRevision:198:8tAM3A -- google doc
get_file:25,20:13:23:getRevision:162:8tAM3A -- getRevision looping
gdoc.py:25,20:13:23:async_init:26:8tAM3A -- async init called
