connecti:26,13:10:15:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1WKk8W5cG-CYKBYN_cWpAdziiPVhvQZEAarnPwf58z4Y/revisions/load?id=1WKk8W5cG-CYKBYN_cWpAdziiPVhvQZEAarnPwf58z4Y&start=1&end=929 HTTP/1.1" 200 None
get_file:26,13:10:15:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:15:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:15:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:15:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:15:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:15:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:15:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:15:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:15:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:15:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:10:15:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:15:get_last_revision:61:q3Xr7Q -- last revision id 1580
gdoc.py:26,13:10:15:async_init:39:q3Xr7Q -- after await 1580
connecti:26,13:10:15:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
connecti:26,13:10:16:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1YJPVyeYstaXiTguoSGCe_Kb3y4yv49N224nUrfLo7rU/revisions/load?id=1YJPVyeYstaXiTguoSGCe_Kb3y4yv49N224nUrfLo7rU&start=1&end=1580 HTTP/1.1" 200 None
gdoc.py:26,13:10:16:get_last_revision:61:q3Xr7Q -- last revision id 2372
gdoc.py:26,13:10:16:async_init:39:q3Xr7Q -- after await 2372
get_file:26,13:10:16:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:16:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:26,13:10:16:get_last_revision:61:q3Xr7Q -- last revision id 747
gdoc.py:26,13:10:16:async_init:39:q3Xr7Q -- after await 747
connecti:26,13:10:16:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:26,13:10:16:get_last_revision:61:q3Xr7Q -- last revision id 1028
gdoc.py:26,13:10:16:async_init:39:q3Xr7Q -- after await 1028
connecti:26,13:10:16:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:16:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:16:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:16:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:16:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1PscMFhdtA31Nh7ELmM18NqjUfLDeGiexKI6q-lI0fKY/revisions/load?id=1PscMFhdtA31Nh7ELmM18NqjUfLDeGiexKI6q-lI0fKY&start=1&end=2372 HTTP/1.1" 200 None
get_file:26,13:10:16:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
connecti:26,13:10:16:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1YlY2MTwu_I6PGWgmkNqFXYJVvNSQKMi7j0WulyoD75w/revisions/load?id=1YlY2MTwu_I6PGWgmkNqFXYJVvNSQKMi7j0WulyoD75w&start=1&end=747 HTTP/1.1" 200 None
get_file:26,13:10:16:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:16:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:16:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:17:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1Gxvc-37IOivNHIPUJBI1v3jf5e-Hwcby_VZbN-k-Bfc/revisions/load?id=1Gxvc-37IOivNHIPUJBI1v3jf5e-Hwcby_VZbN-k-Bfc&start=1&end=1028 HTTP/1.1" 200 None
get_file:26,13:10:17:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:17:getRevision:167:q3Xr7Q -- getRevision looping
get_file:26,13:10:17:getRevision:178:q3Xr7Q -- not google doc
get_file:26,13:10:17:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:17:get_last_revision:61:q3Xr7Q -- last revision id 188
gdoc.py:26,13:10:17:async_init:39:q3Xr7Q -- after await 188
connecti:26,13:10:17:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
gdoc.py:26,13:10:17:get_last_revision:61:q3Xr7Q -- last revision id 551
gdoc.py:26,13:10:17:async_init:39:q3Xr7Q -- after await 551
connecti:26,13:10:17:_new_conn:817:q3Xr7Q -- Starting new HTTPS connection (1): docs.google.com
get_file:26,13:10:18:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:18:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:18:async_init:30:q3Xr7Q -- async init called
connecti:26,13:10:18:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1T1Sj69DxCTpEQI2pH0O04l_PSx1V3xsxYOnkiHPEPis/revisions/load?id=1T1Sj69DxCTpEQI2pH0O04l_PSx1V3xsxYOnkiHPEPis&start=1&end=188 HTTP/1.1" 200 None
connecti:26,13:10:18:_make_request:393:q3Xr7Q -- https://docs.google.com:443 "GET /document/d/1VrK4o4hKCSJyT8P4hKL9la_FO7-29hcBJMJDsvjXo2A/revisions/load?id=1VrK4o4hKCSJyT8P4hKL9la_FO7-29hcBJMJDsvjXo2A&start=1&end=551 HTTP/1.1" 200 None
get_file:26,13:10:18:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
get_file:26,13:10:18:getRevision:198:q3Xr7Q -- google doc
get_file:26,13:10:18:getRevision:167:q3Xr7Q -- getRevision looping
gdoc.py:26,13:10:18:async_init:30:q3Xr7Q -- async init called
get_file:26,13:10:18:getIdsRecursive:51:q3Xr7Q -- getIdsRecursive looping
gdoc.py:26,13:10:18:get_last_revision:61:q3Xr7Q -- last revision id 48
gdoc.py:26,13:10:18:async_init:39:q3Xr7Q -- after await 48
